timestamp,temperature_c,humidity_percent,soil_moisture_percent,ph_level,light_intensity_lux,location
2025-11-02T06:24:42.741030,34.81,32.55,59.5,6.83,606.58,Zone_08
2025-11-02T07:24:42.741030,32.82,42.34,55.36,6.78,600.13,Zone_09
2025-11-02T08:24:42.741030,32.96,36.81,63.3,6.51,706.02,Zone_10
2025-11-02T09:24:42.741030,31.69,47.52,64.96,7.19,715.92,Zone_11
2025-11-02T10:24:42.741030,32.95,47.81,70.79,6.71,701.57,Zone_12
2025-11-02T11:24:42.741030,32.47,38.46,63.93,6.79,751.13,Zone_13
2025-11-02T12:24:42.741030,32.0,38.25,68.79,6.62,830.96,Zone_14
2025-11-02T13:24:42.741030,26.95,43.65,78.05,7.02,788.71,Zone_15
2025-11-02T14:24:42.741030,27.54,40.38,63.26,7.14,746.15,Zone_16
2025-11-02T15:24:42.741030,27.8,39.83,69.29,7.0,694.73,Zone_17
2025-11-02T16:24:42.741030,26.63,38.23,52.4,7.01,787.89,Zone_18
2025-11-02T17:24:42.741030,25.54,38.91,62.14,7.14,769.38,Zone_19
2025-11-02T18:24:42.741030,27.03,44.74,49.97,6.98,777.3,Zone_20
2025-11-02T19:24:42.741030,24.53,48.04,43.58,6.97,859.36,Zone_21
2025-11-02T20:24:42.741030,19.78,47.72,40.1,6.72,811.58,Zone_22
2025-11-02T21:24:42.741030,22.88,43.59,63.57,7.19,717.69,Zone_23
2025-11-02T22:24:42.741030,19.47,41.78,48.42,7.01,823.53,Zone_24
2025-11-02T23:24:42.741030,19.59,40.91,60.18,7.13,709.76,Zone_00
2025-11-03T00:24:42.741030,18.48,41.57,55.8,6.85,759.63,Zone_01
2025-11-03T01:24:42.741030,17.72,42.67,62.94,6.67,813.13,Zone_02
2025-11-03T02:24:42.741030,19.04,42.63,54.0,6.55,844.87,Zone_03
2025-11-03T03:24:42.741030,14.54,46.79,49.59,7.18,686.12,Zone_04
2025-11-03T04:24:42.741030,14.99,49.25,54.13,7.14,721.45,Zone_05
2025-11-03T05:24:42.741030,16.37,38.52,56.39,6.64,786.59,Zone_06
2025-11-03T06:24:42.741030,16.33,47.06,62.11,6.84,710.24,Zone_07
2025-11-03T07:24:42.741030,18.46,41.67,46.73,6.86,792.96,Zone_08
2025-11-03T08:24:42.741030,16.57,40.76,44.67,6.61,722.71,Zone_09
2025-11-03T09:24:42.741030,13.01,47.89,46.39,6.8,704.87,Zone_10
2025-11-03T10:24:42.741030,15.59,48.03,50.82,7.08,692.03,Zone_11
2025-11-03T11:24:42.741030,14.77,47.87,50.74,6.95,702.75,Zone_12
2025-11-03T12:24:42.741030,15.12,45.95,39.85,6.57,479.62,Zone_13
2025-11-03T13:24:42.741030,14.17,52.71,32.7,6.68,571.01,Zone_14
2025-11-03T14:24:42.741030,15.61,40.33,42.83,6.82,508.99,Zone_15
2025-11-03T15:24:42.741030,17.39,44.68,30.79,7.17,571.82,Zone_16
2025-11-03T16:24:42.741030,19.77,59.12,38.17,6.92,542.76,Zone_17
2025-11-03T17:24:42.741030,18.46,55.41,41.27,6.93,574.81,Zone_18
2025-11-03T18:24:42.741030,19.09,51.53,36.81,6.5,479.18,Zone_19
2025-11-03T19:24:42.741030,19.94,59.15,40.63,6.57,389.19,Zone_20
2025-11-03T20:24:42.741030,17.1,51.0,47.63,6.58,438.67,Zone_21
2025-11-03T21:24:42.741030,25.39,42.37,44.68,6.91,380.47,Zone_22
2025-11-03T22:24:42.741030,23.73,49.26,38.28,6.42,368.54,Zone_23
2025-11-03T23:24:42.741030,26.54,50.23,28.06,6.37,422.64,Zone_24
2025-11-04T00:24:42.741030,23.82,65.69,37.7,6.43,340.0,Zone_00
2025-11-04T01:24:42.741030,22.76,66.66,40.66,6.52,348.18,Zone_01
2025-11-04T02:24:42.741030,27.34,57.69,32.88,6.71,356.12,Zone_02
2025-11-04T03:24:42.741030,29.02,65.34,34.08,6.12,348.92,Zone_03
2025-11-04T04:24:42.741030,35.16,61.3,19.03,7.25,235.85,Zone_04
2025-11-04T05:24:42.741030,31.19,61.9,27.32,6.66,237.0,Zone_05
2025-11-04T06:24:42.741030,28.08,56.07,31.21,6.71,209.71,Zone_06
2025-11-04T07:24:42.741030,32.88,57.01,18.11,6.76,229.2,Zone_07
2025-11-04T08:24:42.741030,33.8,70.12,30.31,6.66,162.48,Zone_08
2025-11-04T09:24:42.741030,33.01,58.89,21.63,6.61,185.84,Zone_09
2025-11-04T10:24:42.741030,36.43,62.32,29.25,6.39,251.0,Zone_10
2025-11-04T11:24:42.741030,36.78,65.78,17.15,7.1,215.96,Zone_11
2025-11-04T12:24:42.741030,35.22,53.19,22.02,6.93,206.35,Zone_12
2025-11-04T13:24:42.741030,37.48,64.3,-3.64,6.57,242.27,Zone_13
2025-11-04T14:24:42.741030,38.01,61.33,28.55,6.87,217.7,Zone_14
2025-11-04T15:24:42.741030,35.85,70.81,36.46,6.94,250.55,Zone_15
2025-11-04T16:24:42.741030,35.87,68.27,30.64,6.9,161.72,Zone_16
2025-11-04T17:24:42.741030,33.35,77.13,39.8,6.65,261.77,Zone_17
2025-11-04T18:24:42.741030,37.61,66.61,23.24,6.53,215.25,Zone_18
2025-11-04T19:24:42.741030,37.37,70.84,11.31,6.45,218.08,Zone_19
2025-11-04T20:24:42.741030,35.65,70.18,21.58,6.43,269.11,Zone_20
2025-11-04T21:24:42.741030,31.03,74.81,27.83,6.66,239.11,Zone_21
2025-11-04T22:24:42.741030,36.37,70.78,23.89,6.58,248.82,Zone_22
2025-11-04T23:24:42.741030,37.68,72.06,24.02,6.68,325.93,Zone_23
2025-11-05T00:24:42.741030,35.14,76.05,20.17,6.32,257.3,Zone_24
2025-11-05T01:24:42.741030,32.92,81.65,18.92,6.06,341.53,Zone_00
2025-11-05T02:24:42.741030,33.32,76.59,26.02,6.77,379.77,Zone_01
2025-11-05T03:24:42.741030,30.75,74.27,36.39,7.07,379.9,Zone_02
2025-11-05T04:24:42.741030,32.21,68.41,28.84,6.58,391.04,Zone_03
2025-11-05T05:24:42.741030,28.93,77.36,13.85,6.35,479.27,Zone_04
2025-11-05T06:24:42.741030,31.86,79.62,16.61,6.41,555.82,Zone_05
2025-11-05T07:24:42.741030,28.14,73.89,22.43,6.41,411.37,Zone_06
2025-11-05T08:24:42.741030,27.77,73.34,20.49,6.22,556.87,Zone_07
2025-11-05T09:24:42.741030,26.45,71.41,26.61,6.94,537.64,Zone_08
2025-11-05T10:24:42.741030,24.93,74.83,19.76,7.18,451.73,Zone_09
2025-11-05T11:24:42.741030,22.76,77.79,13.09,6.24,635.83,Zone_10
2025-11-05T12:24:42.741030,22.78,73.23,27.39,6.58,563.49,Zone_11
2025-11-05T13:24:42.741030,24.15,71.96,23.37,6.83,648.34,Zone_12
2025-11-05T14:24:42.741030,20.47,62.6,29.5,5.76,736.44,Zone_13
2025-11-05T15:24:42.741030,22.07,75.19,6.48,6.25,661.65,Zone_14
2025-11-05T16:24:42.741030,19.95,64.43,21.78,6.23,586.96,Zone_15
2025-11-05T17:24:42.741030,20.54,70.16,22.37,6.73,728.71,Zone_16
2025-11-05T18:24:42.741030,18.11,67.82,16.76,6.73,747.08,Zone_17
2025-11-05T19:24:42.741030,14.51,72.01,24.28,6.49,623.72,Zone_18
2025-11-05T20:24:42.741030,19.64,62.44,23.38,6.54,740.8,Zone_19
2025-11-05T21:24:42.741030,17.38,67.08,20.05,5.93,815.26,Zone_20
2025-11-05T22:24:42.741030,18.7,75.17,22.33,6.35,781.93,Zone_21
2025-11-05T23:24:42.741030,17.24,72.59,0.64,6.97,762.84,Zone_22
2025-11-06T00:24:42.741030,15.25,66.44,14.77,6.13,734.85,Zone_23
2025-11-06T01:24:42.741030,17.92,70.61,13.36,6.02,815.58,Zone_24
2025-11-06T02:24:42.741030,17.54,67.67,21.42,6.61,786.38,Zone_00
2025-11-06T03:24:42.741030,18.28,68.52,24.33,6.77,882.79,Zone_01
2025-11-06T04:24:42.741030,15.39,68.27,31.53,6.85,789.35,Zone_02
2025-11-06T05:24:42.741030,19.99,64.91,31.72,6.46,849.14,Zone_03
2025-11-06T06:24:42.741030,20.77,64.55,21.69,6.46,666.25,Zone_04
2025-11-06T07:24:42.741030,18.23,61.99,45.42,5.89,838.38,Zone_05
2025-11-06T08:24:42.741030,23.61,59.04,24.47,6.14,752.87,Zone_06
2025-11-06T09:24:42.741030,19.36,53.92,13.89,6.32,824.21,Zone_07
2025-11-06T10:24:42.741030,20.27,76.28,25.95,6.18,764.8,Zone_08
2025-11-06T11:24:42.741030,21.86,57.53,28.99,6.1,732.51,Zone_09
2025-11-06T12:24:42.741030,21.01,66.38,36.5,6.6,723.82,Zone_10
2025-11-06T13:24:42.741030,23.81,62.57,33.07,6.26,721.24,Zone_11
2025-11-06T14:24:42.741030,23.82,57.72,27.65,6.4,711.91,Zone_12
2025-11-06T15:24:42.741030,24.18,54.21,35.21,6.0,713.09,Zone_13
2025-11-06T16:24:42.741030,24.38,53.79,23.49,6.05,617.87,Zone_14
2025-11-06T17:24:42.741030,27.15,66.9,36.48,6.03,689.55,Zone_15
2025-11-06T18:24:42.741030,25.56,47.49,45.56,6.1,563.03,Zone_16
2025-11-06T19:24:42.741030,32.47,61.68,30.47,5.84,554.94,Zone_17
2025-11-06T20:24:42.741030,31.76,43.56,21.22,6.27,562.59,Zone_18
2025-11-06T21:24:42.741030,30.46,48.58,28.79,6.09,533.15,Zone_19
2025-11-06T22:24:42.741030,28.39,54.54,55.13,6.04,576.4,Zone_20
2025-11-06T23:24:42.741030,32.37,45.46,33.0,6.21,398.34,Zone_21
2025-11-07T00:24:42.741030,33.79,52.05,37.41,6.04,471.12,Zone_22
2025-11-07T01:24:42.741030,35.79,42.26,23.06,6.01,502.21,Zone_23
2025-11-07T02:24:42.741030,38.89,47.63,56.06,6.36,420.09,Zone_24
2025-11-07T03:24:42.741030,33.18,48.93,39.15,6.08,433.79,Zone_00
2025-11-07T04:24:42.741030,34.72,54.48,45.92,6.11,404.66,Zone_01
2025-11-07T05:24:42.741030,33.15,40.91,39.25,6.05,335.27,Zone_02
2025-11-07T06:24:42.741030,34.07,51.0,43.27,6.18,324.62,Zone_03
2025-11-07T07:24:42.741030,35.06,44.0,37.15,6.28,338.6,Zone_04
2025-11-07T08:24:42.741030,35.17,37.56,47.33,6.08,247.03,Zone_05
2025-11-07T09:24:42.741030,40.64,42.8,25.9,5.94,265.28,Zone_06
2025-11-07T10:24:42.741030,35.33,44.87,60.43,5.7,263.36,Zone_07
2025-11-07T11:24:42.741030,36.42,46.64,42.69,6.1,275.37,Zone_08
2025-11-07T12:24:42.741030,32.89,41.41,57.14,6.63,238.31,Zone_09
2025-11-07T13:24:42.741030,29.37,48.72,45.07,6.49,340.57,Zone_10
2025-11-07T14:24:42.741030,31.0,37.16,57.57,6.06,265.54,Zone_11
2025-11-07T15:24:42.741030,27.49,44.14,55.62,5.92,219.92,Zone_12
2025-11-07T16:24:42.741030,30.2,43.26,55.02,6.38,78.47,Zone_13
2025-11-07T17:24:42.741030,30.44,43.63,58.83,5.87,258.76,Zone_14
2025-11-07T18:24:42.741030,27.7,31.89,69.15,6.65,131.68,Zone_15
2025-11-07T19:24:42.741030,27.7,47.69,53.64,5.84,186.63,Zone_16
2025-11-07T20:24:42.741030,28.87,40.41,47.69,6.09,180.26,Zone_17
2025-11-07T21:24:42.741030,27.5,38.1,54.87,5.66,213.32,Zone_18
2025-11-07T22:24:42.741030,23.21,39.8,70.97,6.31,150.7,Zone_19
2025-11-07T23:24:42.741030,28.77,47.58,59.53,6.4,139.61,Zone_20
2025-11-08T00:24:42.741030,25.24,40.82,57.78,6.22,169.09,Zone_21
2025-11-08T01:24:42.741030,21.96,41.74,53.83,5.83,219.54,Zone_22
2025-11-08T02:24:42.741030,19.31,28.66,51.4,5.62,222.41,Zone_23
2025-11-08T03:24:42.741030,23.16,31.54,67.79,5.82,229.17,Zone_24
2025-11-08T04:24:42.741030,17.48,33.14,56.59,5.61,327.91,Zone_00
2025-11-08T05:24:42.741030,21.09,45.66,59.42,6.28,269.27,Zone_01
2025-11-08T06:24:42.741030,17.4,40.05,63.52,5.9,295.5,Zone_02
2025-11-08T07:24:42.741030,16.3,42.87,55.95,5.89,264.65,Zone_03
2025-11-08T08:24:42.741030,14.71,42.19,66.16,5.84,346.45,Zone_04
2025-11-08T09:24:42.741030,17.88,42.36,45.58,5.87,415.12,Zone_05
2025-11-08T10:24:42.741030,18.97,47.29,71.89,5.68,379.78,Zone_06
2025-11-08T11:24:42.741030,14.58,45.59,72.69,5.65,550.63,Zone_07
2025-11-08T12:24:42.741030,17.13,46.31,82.94,5.84,497.4,Zone_08
2025-11-08T13:24:42.741030,11.33,48.64,68.4,5.67,461.07,Zone_09
2025-11-08T14:24:42.741030,17.52,37.14,60.01,6.28,477.69,Zone_10
2025-11-08T15:24:42.741030,15.1,49.25,80.4,6.35,503.49,Zone_11
2025-11-08T16:24:42.741030,11.61,50.16,65.37,5.97,591.86,Zone_12
2025-11-08T17:24:42.741030,16.28,39.23,81.98,5.45,547.24,Zone_13
2025-11-08T18:24:42.741030,14.26,49.62,73.84,6.33,610.77,Zone_14
2025-11-08T19:24:42.741030,17.78,48.23,86.14,5.9,641.44,Zone_15
2025-11-08T20:24:42.741030,19.81,49.88,83.22,5.67,655.0,Zone_16
2025-11-08T21:24:42.741030,17.71,56.23,72.89,5.9,634.66,Zone_17
2025-11-08T22:24:42.741030,18.09,53.58,68.78,5.66,696.46,Zone_18
2025-11-08T23:24:42.741030,18.83,57.17,69.88,6.02,744.38,Zone_19
2025-11-09T00:24:42.741030,20.18,43.15,67.97,6.07,620.13,Zone_20
2025-11-09T01:24:42.741030,21.66,52.04,92.84,5.21,711.16,Zone_21
2025-11-09T02:24:42.741030,17.32,50.54,70.76,6.84,697.54,Zone_22
2025-11-09T03:24:42.741030,19.03,65.53,79.31,5.71,755.91,Zone_23
2025-11-09T04:24:42.741030,20.21,64.87,89.41,6.15,708.96,Zone_24
2025-11-09T05:24:42.741030,21.29,57.79,68.8,5.48,766.15,Zone_00
2025-11-09T06:24:42.741030,22.1,61.92,71.55,5.8,827.17,Zone_01
2025-11-09T07:24:42.741030,27.75,61.18,77.57,6.16,796.66,Zone_02
2025-11-09T08:24:42.741030,28.09,70.96,71.62,6.13,824.57,Zone_03
2025-11-09T09:24:42.741030,27.09,62.54,58.24,6.42,823.64,Zone_04
2025-11-09T10:24:42.741030,28.04,59.16,83.99,5.73,770.83,Zone_05
2025-11-09T11:24:42.741030,28.02,68.81,74.84,6.0,872.16,Zone_06
2025-11-09T12:24:42.741030,32.68,66.06,72.08,5.87,802.77,Zone_07
2025-11-09T13:24:42.741030,29.57,60.81,84.55,6.04,737.74,Zone_08
2025-11-09T14:24:42.741030,29.68,74.37,81.88,5.93,780.75,Zone_09
2025-11-09T15:24:42.741030,32.57,65.98,76.69,5.82,764.86,Zone_10
2025-11-09T16:24:42.741030,34.85,74.48,81.29,5.82,839.37,Zone_11
2025-11-09T17:24:42.741030,32.37,69.19,79.66,6.02,717.52,Zone_12
2025-11-09T18:24:42.741030,36.34,72.89,84.03,5.88,735.63,Zone_13
2025-11-09T19:24:42.741030,37.14,71.31,70.92,5.73,647.68,Zone_14
2025-11-09T20:24:42.741030,31.81,67.66,87.6,6.01,771.9,Zone_15
2025-11-09T21:24:42.741030,36.27,80.74,73.73,5.79,763.35,Zone_16
2025-11-09T22:24:42.741030,35.8,78.69,73.88,5.96,641.99,Zone_17
2025-11-09T23:24:42.741030,33.79,65.34,85.2,5.95,527.63,Zone_18
2025-11-10T00:24:42.741030,34.22,78.07,87.71,6.19,737.03,Zone_19
2025-11-10T01:24:42.741030,35.26,78.19,85.97,6.04,659.4,Zone_20
2025-11-10T02:24:42.741030,35.14,76.13,83.93,6.24,569.19,Zone_21
2025-11-10T03:24:42.741030,30.92,69.62,68.59,5.76,549.29,Zone_22
2025-11-10T04:24:42.741030,34.5,79.46,95.41,5.66,473.4,Zone_23
2025-11-10T05:24:42.741030,34.41,76.31,71.32,5.98,537.92,Zone_24
2025-11-10T06:24:42.741030,29.5,84.5,75.81,5.35,520.39,Zone_00
2025-11-10T07:24:42.741030,29.88,76.98,68.89,6.26,446.47,Zone_01
2025-11-10T08:24:42.741030,32.56,79.03,71.22,6.46,380.95,Zone_02
2025-11-10T09:24:42.741030,29.07,79.27,76.96,6.38,421.61,Zone_03
2025-11-10T10:24:42.741030,24.85,91.18,78.69,5.74,425.47,Zone_04
2025-11-10T11:24:42.741030,29.74,79.3,74.22,5.59,422.78,Zone_05
2025-11-10T12:24:42.741030,26.57,79.73,75.02,5.84,360.67,Zone_06
2025-11-10T13:24:42.741030,27.16,81.51,75.2,6.14,439.1,Zone_07
2025-11-10T14:24:42.741030,25.97,77.72,64.1,5.91,388.99,Zone_08
2025-11-10T15:24:42.741030,25.52,85.09,79.23,6.16,238.58,Zone_09
2025-11-10T16:24:42.741030,24.78,68.67,69.64,6.03,233.04,Zone_10
2025-11-10T17:24:42.741030,20.83,81.99,56.04,5.69,325.23,Zone_11
2025-11-10T18:24:42.741030,23.57,80.78,92.44,6.44,203.81,Zone_12
2025-11-10T19:24:42.741030,18.5,72.27,65.82,6.02,220.1,Zone_13
2025-11-10T20:24:42.741030,16.74,80.82,71.02,6.18,247.73,Zone_14
2025-11-10T21:24:42.741030,19.16,75.18,53.4,6.69,229.32,Zone_15
2025-11-10T22:24:42.741030,17.96,70.7,70.63,6.15,206.08,Zone_16
2025-11-10T23:24:42.741030,18.6,74.34,72.93,6.17,177.1,Zone_17
2025-11-11T00:24:42.741030,13.89,77.3,54.2,6.36,212.8,Zone_18
2025-11-11T01:24:42.741030,14.74,79.1,53.1,6.3,200.58,Zone_19
2025-11-11T02:24:42.741030,16.26,81.04,63.45,5.9,198.69,Zone_20
2025-11-11T03:24:42.741030,18.62,75.91,57.88,6.35,192.58,Zone_21
2025-11-11T04:24:42.741030,11.92,75.4,60.28,6.16,171.14,Zone_22
2025-11-11T05:24:42.741030,14.78,74.09,76.15,7.14,124.23,Zone_23
2025-11-11T06:24:42.741030,12.21,72.37,55.68,6.4,233.82,Zone_24
2025-11-11T07:24:42.741030,14.5,77.77,72.26,5.84,229.14,Zone_00
2025-11-11T08:24:42.741030,14.55,70.65,59.99,6.55,193.98,Zone_01
2025-11-11T09:24:42.741030,16.13,73.58,55.05,5.88,206.02,Zone_02
2025-11-11T10:24:42.741030,16.31,72.04,45.29,6.46,334.74,Zone_03
2025-11-11T11:24:42.741030,18.06,65.05,71.97,6.04,240.95,Zone_04
2025-11-11T12:24:42.741030,19.63,69.62,77.29,6.73,306.48,Zone_05
2025-11-11T13:24:42.741030,21.33,64.7,56.69,6.5,277.98,Zone_06
2025-11-11T14:24:42.741030,20.58,57.12,54.37,6.03,274.53,Zone_07
2025-11-11T15:24:42.741030,15.54,68.85,59.16,6.92,398.35,Zone_08
2025-11-11T16:24:42.741030,23.35,62.41,54.33,5.94,387.3,Zone_09
2025-11-11T17:24:42.741030,16.09,57.66,56.25,6.86,417.87,Zone_10
2025-11-11T18:24:42.741030,19.31,64.84,48.74,6.47,307.32,Zone_11
2025-11-11T19:24:42.741030,25.33,66.81,44.27,6.46,441.8,Zone_12
2025-11-11T20:24:42.741030,26.08,72.15,58.2,6.22,468.98,Zone_13
2025-11-11T21:24:42.741030,23.18,55.75,54.99,7.01,435.58,Zone_14
2025-11-11T22:24:42.741030,24.36,61.57,54.92,6.19,529.51,Zone_15
2025-11-11T23:24:42.741030,24.6,53.46,41.29,6.55,566.24,Zone_16
2025-11-12T00:24:42.741030,28.19,47.45,50.61,6.65,550.32,Zone_17
2025-11-12T01:24:42.741030,28.47,47.82,49.85,6.82,577.01,Zone_18
2025-11-12T02:24:42.741030,28.4,54.53,68.64,6.75,599.0,Zone_19
2025-11-12T03:24:42.741030,31.99,52.91,41.2,6.32,703.92,Zone_20
2025-11-12T04:24:42.741030,30.72,62.81,45.93,6.21,684.48,Zone_21
2025-11-12T05:24:42.741030,29.26,56.17,45.67,6.85,602.51,Zone_22
2025-11-12T06:24:42.741030,33.93,57.27,31.52,6.68,684.76,Zone_23
2025-11-12T07:24:42.741030,33.07,55.6,47.31,6.47,783.47,Zone_24
2025-11-12T08:24:42.741030,34.56,40.84,30.19,6.26,628.05,Zone_00
2025-11-12T09:24:42.741030,34.6,48.09,42.12,6.84,705.67,Zone_01
2025-11-12T10:24:42.741030,35.51,47.54,39.37,6.84,695.81,Zone_02
2025-11-12T11:24:42.741030,34.39,40.7,37.98,6.73,793.18,Zone_03
2025-11-12T12:24:42.741030,33.05,44.03,33.9,6.39,796.57,Zone_04
2025-11-12T13:24:42.741030,35.74,43.51,32.94,6.46,795.84,Zone_05
